PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41828632","Systematic Review: Long-Read Sequencing in Algal Studies","Kastuganova K, Askerov A, Szabó A, Barteneva NS.","Int J Mol Sci. 2026 Mar 5;27(5):2415. doi: 10.3390/ijms27052415.","Kastuganova K","Int J Mol Sci","2026","2026/03/14","PMC12985685","","10.3390/ijms27052415"
"41816345","Neutrophil and macrophage zonation in liver disease: from spatiotemporal dynamics to advanced computational analysis","Kim H, Lachmann N.","Front Immunol. 2026 Feb 24;17:1767691. doi: 10.3389/fimmu.2026.1767691. eCollection 2026.","Kim H","Front Immunol","2026","2026/03/12","PMC12971471","","10.3389/fimmu.2026.1767691"
"41813281","Predicting Outcomes in Patients With Tricuspid Regurgitation Undergoing Transcatheter Edge-to-Edge Repair Using an Artificial Intelligence-Derived Risk Score: The EuroTR Risk Score","Hausleiter J, Stolz L, Kresoja KP, von Stein J, Fortmeier V, Koell B, Rottbauer W, Kassar M, Goebel B, Denti P, Achouh P, Rassaf T, Barreiro-Perez M, Boekstegers P, Rück A, Zdanyte M, Adamo M, Vincent F, Schlegel P, Rosch S, Wild MG, Besler C, Toggweiler S, Brunner S, Grapsa J, Patterson T, Thiele H, Kister T, Tarantini G, Masiero G, De Carlo M, Sticchi A, Voss F, Polzin A, Rubbio AP, Bedogni F, Laugwitz KL, Konstandin MH, Van Belle E, Metra M, Geisler T, Estévez-Loureiro R, Mahabadi AA, Karam N, Maisano F, Lauten P, Praz F, Kessler M, Kalbacher D, Rudolph V, Iliadis C, Lachmann M, Lurz P; EuroTR Investigators.","JACC Cardiovasc Interv. 2026 Mar 9;19(5):631-646. doi: 10.1016/j.jcin.2025.11.034.","Hausleiter J","JACC Cardiovasc Interv","2026","2026/03/11","","","10.1016/j.jcin.2025.11.034"
"41811507","Hybrid seed production: new paradigms and challenges in the twenty-first century","Thakur MK, Pandey S, Singh SK, Singh SK, Singh A.","Planta. 2026 Mar 11;263(4):99. doi: 10.1007/s00425-026-04959-3.","Thakur MK","Planta","2026","2026/03/11","","","10.1007/s00425-026-04959-3"
"41810706","Practitioners' knowledge base for assessing and treating chronic ulcers: a scoping review","Blevins M.","J Wound Care. 2026 Mar;35(Sup3a):S19-S30. doi: 10.12968/jowc.2023.0199. Epub 2026 Mar 11.","Blevins M","J Wound Care","2026","2026/03/11","","","10.12968/jowc.2023.0199"
"41808840","Artificial intelligence-enabled multi-omics biomarkers for immune checkpoint blockade: mechanisms, predictive modeling, and clinical translation","Wang X, Xiong D, Cui S, Duan B, Ding G, Huang Y, Wang Q.","Front Immunol. 2026 Feb 23;17:1732079. doi: 10.3389/fimmu.2026.1732079. eCollection 2026.","Wang X","Front Immunol","2026","2026/03/11","PMC12967935","","10.3389/fimmu.2026.1732079"
"41807227","Advances in artificial intelligence in prostate cancer pathology","Chan GJ, Ding CC.","Semin Diagn Pathol. 2026 Mar;43(2):150995. doi: 10.1016/j.semdp.2026.150995. Epub 2026 Mar 4.","Chan GJ","Semin Diagn Pathol","2026","2026/03/10","","","10.1016/j.semdp.2026.150995"
"41805733","Enhanced Prediction of Atrial Fibrillation in Patients With Ischemic Stroke Through Electronic Medical Records and Text Mining: Algorithm Development and Validation","Chen YW, Sung SF, Hu YH, Yang YH.","JMIR Med Inform. 2026 Mar 10;14:e78117. doi: 10.2196/78117.","Chen YW","JMIR Med Inform","2026","2026/03/10","PMC12975001","","10.2196/78117"
"41802435","[The Scientific Usage of GPS Data in Professional Football: Relevance, Norm Values and Practical Recommendations]","Mühl H, Granacher U.","Sportverletz Sportschaden. 2026 Mar;40(1):32-46. doi: 10.1055/a-2777-3728. Epub 2026 Mar 9.","Mühl H","Sportverletz Sportschaden","2026","2026/03/09","","","10.1055/a-2777-3728"
"41802282","Advances in predicting omics profiles from imaging data","Beachum AH, Xiao X, Zhou Y, Li Q, Xiao G, Xu L.","Brief Bioinform. 2026 Mar 1;27(2):bbag090. doi: 10.1093/bib/bbag090.","Beachum AH","Brief Bioinform","2026","2026/03/09","PMC12971000","","10.1093/bib/bbag090"
"41796025","[Current Status and Challenges of Forensic Psychiatry Research]","Zhao H.","Fa Yi Xue Za Zhi. 2025 Dec 25;41(6):531-536. doi: 10.12116/j.issn.1004-5619.2025.151201.","Zhao H","Fa Yi Xue Za Zhi","2025","2026/03/08","","","10.12116/j.issn.1004-5619.2025.151201"
"41795984","[Standardizing breast cancer digital pathology databases for artificial intelligence: practice and reflection]","Li FL, Bu H, Zhang Z.","Zhonghua Bing Li Xue Za Zhi. 2026 Mar 8;55(3):221-228. doi: 10.3760/cma.j.cn112151-20251207-00806.","Li FL","Zhonghua Bing Li Xue Za Zhi","2026","2026/03/08","","","10.3760/cma.j.cn112151-20251207-00806"
