pmid,title,authors,journal,year,doi,cited_by_count,abstract
41644966,Explainable machine learning with bayesian hyper-optimization for predicting cognitive impairment from longitudinal nursing home data,"Campanioni S, Busto L, González-Novoa JA, Martínez C, Juan-Salvadores P, Vieitez I, Olivieri DN, Prieto JM, Vilariño I, González Novas R, Taboada AR, de Los Ángeles Fernández Ceballos M, Agis-Balboa RC, Veiga C.",Sci Rep,2026,10.1038/s41598-025-34060-w,0,"The monitoring of daily life in nursing home residents generates diverse and heterogeneous sources of information. Artificial Intelligence (AI) is increasingly used to predict a wide range of outcomes in both research and clinical practice, including mortality and cognitive impairment (CI). A key challenge is determining which information sources (IS) provide the most accurate predictions. In this work, we present an integrative AI-based framework that combines harmonized temporal modeling, Bayesian hyperparameter optimization, XGBoost, and explainable AI (SHAP) to predict CI in nursing home residents using 13 years of heterogeneous longitudinal data from 2,608 individuals. Our approach enables interpretable predictions of CI-related clinical scales such as the Mini-Mental State Examination (MMSE), the Global Deterioration Scale (GDS), and the Barthel Scale while revealing the relative contributions of diverse IS, including clinical metrics and activity records. Using a nested 5 × 3 cross-validation scheme with patient-level grouping and temporal blocking, the Bayesian-optimized XGBoost regressors achieved robust predictive performance, with MSE values of 2.12 (MMSE), 0.47 (GDS), and 4.55 (Barthel) when using only Clinical Variables, and further improvements when integrating all information sources (MMSE: 1.85; GDS: 0.42; Barthel: 4.30). The MMSE severity classifier achieved a macro-averaged AUC of 0.89 (95% CI: 0.87-0.91), with the highest F1-scores in the Normal (0.80) and Severe (0.86) impairment categories. Clinical Variables consistently emerged as the most informative source across regression and classification tasks. Overall, this integrative framework enhances CI prediction from heterogeneous long-term care data while providing interpretable insights that may support more personalized and data-informed care strategies."
24144102,Predictions of BuChE inhibitors using support vector machine and naive Bayesian classification techniques in drug discovery,"Fang J, Yang R, Gao L, Zhou D, Yang S, Liu AL, Du GH.",J Chem Inf Model,2013,10.1021/ci400331p,0,"Butyrylcholinesterase (BuChE, EC 3.1.1.8) is an important pharmacological target for Alzheimer's disease (AD) treatment. However, the currently available BuChE inhibitor screening assays are expensive, labor-intensive, and compound-dependent. It is necessary to develop robust in silico methods to predict the activities of BuChE inhibitors for the lead identification. In this investigation, support vector machine (SVM) models and naive Bayesian models were built to discriminate BuChE inhibitors (BuChEIs) from the noninhibitors. Each molecule was initially represented in 1870 structural descriptors (1235 from ADRIANA.Code, 334 from MOE, and 301 from Discovery studio). Correlation analysis and stepwise variable selection method were applied to figure out activity-related descriptors for prediction models. Additionally, structural fingerprint descriptors were added to improve the predictive ability of models, which were measured by cross-validation, a test set validation with 1001 compounds and an external test set validation with 317 diverse chemicals. The best two models gave Matthews correlation coefficient of 0.9551 and 0.9550 for the test set and 0.9132 and 0.9221 for the external test set. To demonstrate the practical applicability of the models in virtual screening, we screened an in-house data set with 3601 compounds, and 30 compounds were selected for further bioactivity assay. The assay results showed that 10 out of 30 compounds exerted significant BuChE inhibitory activities with IC50 values ranging from 0.32 to 22.22 μM, at which three new scaffolds as BuChE inhibitors were identified for the first time. To our best knowledge, this is the first report on BuChE inhibitors using machine learning approaches. The models generated from SVM and naive Bayesian approaches successfully predicted BuChE inhibitors. The study proved the feasibility of a new method for predicting bioactivities of ligands and discovering novel lead compounds."
40779379,Unsupervised Brain Lesion Segmentation Using Posterior Distributions Learned by Subspace-Based Generative Model,"Zhuang H, Guan Y, Ding Y, Xu C, Cheng Z, Ma Y, Liu R, Meng Z, Cao L, Li Y, Liang ZP.",IEEE Trans Med Imaging,2026,10.1109/tmi.2025.3597080,0,"Unsupervised brain lesion segmentation, focusing on learning normative distributions from images of healthy subjects, are less dependent on lesion-labeled data, thus exhibiting better generalization capabilities. A fundamental challenge in learning normative distributions of images lies in the high dimensionality if image pixels are treated as correlated random variables to capture spatial dependence. In this study, we proposed a subspace-based deep generative model to learn the posterior normal distributions. Specifically, we used probabilistic subspace models to capture spatial-intensity distributions and spatial-structure distributions of brain images from healthy subjects. These models captured prior spatial-intensity and spatial-structure variations effectively by treating the subspace coefficients as random variables with basis functions being the eigen-images and eigen-density functions learned from the training data. These prior distributions were then converted to posterior distributions, including both the posterior normal and posterior lesion distributions for a given image using the subspace-based generative model and subspace-assisted Bayesian analysis, respectively. Finally, an unsupervised fusion classifier was used to combine the posterior and likelihood features for lesion segmentation. The proposed method has been evaluated on simulated and real lesion data, including tumor, multiple sclerosis, and stroke, demonstrating superior segmentation accuracy and robustness over the state-of-the-art methods. Our proposed method holds promise for enhancing unsupervised brain lesion delineation in clinical applications."
38584239,Is Risk-Stratifying Patients with Colorectal Cancer Using a Deep Learning-Based Prognostic Biomarker Cost-Effective?,"Kenseth A, Kantorova D, Seo MK, Aas E, Cairns J, Kerr D, Askautrud H, Jacobsen JE.",Pharmacoeconomics,2024,10.1007/s40273-024-01371-1,0,"Accurate risk stratification of patients with stage II and III colorectal cancer (CRC) prior to treatment selection enables limited health resources to be efficiently allocated to patients who are likely to benefit from adjuvant chemotherapy. We aimed to investigate the cost-effectiveness of a recently developed deep learning-based prognostic method, Histotyping, from the perspective of the Norwegian healthcare system. Two partitioned survival models were developed to assess the cost-effectiveness of Histotyping for two treatment cohorts: patients with CRC stage II and III. For each of the two cohorts, Histotyping was used for risk stratification to assign adjuvant chemotherapy and was compared with the standard of care (SOC) (adjuvant chemotherapy to all patients). Health outcomes measured in the model were quality-adjusted life years (QALYs) and life years (LYs) gained. Deterministic and probabilistic sensitivity analyses were performed to determine the impact of uncertainty. Scenario analyses were performed to assess the impact of the parameters with the greatest uncertainty. Risk-stratifying patients with CRC stage II and III using Histotyping was dominant (less costly and more effective) compared to SOC. In patients with CRC stage II, the net monetary benefit of Histotyping was 270,934 Norwegian kroners (NOK) (year of valuation is 2021), and the net health benefit of Histotyping was 0.99. In stage III, the net monetary benefit of Histotyping was 195,419 NOK, and the net health benefit of Histotyping was 0.71.  Risk-stratifying patients with CRC using Histotyping prior to the administration of adjuvant chemotherapy is likely to be a cost-effective strategy in Norway."
31369390,GluNet: A Deep Learning Framework for Accurate Glucose Forecasting,"Li K, Liu C, Zhu T, Herrero P, Georgiou P.",IEEE J Biomed Health Inform,2020,10.1109/jbhi.2019.2931842,0,"For people with Type 1 diabetes (T1D), forecasting of blood glucose (BG) can be used to effectively avoid hyperglycemia, hypoglycemia and associated complications. The latest continuous glucose monitoring (CGM) technology allows people to observe glucose in real-time. However, an accurate glucose forecast remains a challenge. In this work, we introduce GluNet, a framework that leverages on a personalized deep neural network to predict the probabilistic distribution of short-term (30-60 minutes) future CGM measurements for subjects with T1D based on their historical data including glucose measurements, meal information, insulin doses, and other factors. It adopts the latest deep learning techniques consisting of four components: data pre-processing, label transform/recover, multi-layers of dilated convolution neural network (CNN), and post-processing. The method is evaluated in-silico for both adult and adolescent subjects. The results show significant improvements over existing methods in the literature through a comprehensive comparison in terms of root mean square error (RMSE) ([Formula: see text] mg/dL) with short time lag ([Formula: see text] minutes) for prediction horizons (PH) = 30 mins (minutes), and RMSE ([Formula: see text] mg/dL) with time lag ([Formula: see text] mins) for PH = 60 mins for virtual adult subjects. In addition, GluNet is also tested on two clinical data sets. Results show that it achieves an RMSE ([Formula: see text] mg/dL) with time lag ([Formula: see text] mins) for PH = 30 mins and an RMSE ([Formula: see text] mg/dL) with time lag ([Formula: see text] mins) for PH = 60 mins. These are the best reported results for glucose forecasting when compared with other methods including the neural network for predicting glucose (NNPG), the support vector regression (SVR), the latent variable with exogenous input (LVX), and the auto regression with exogenous input (ARX) algorithm."
31302629,Automated identification of malignancy in whole-slide pathological images: identification of eyelid malignant melanoma in gigapixel pathological slides using deep learning,"Wang L, Ding L, Liu Z, Sun L, Chen L, Jia R, Dai X, Cao J, Ye J.",Br J Ophthalmol,2020,10.1136/bjophthalmol-2018-313706,0,"To develop a deep learning system (DLS) that can automatically detect malignant melanoma (MM) in the eyelid from histopathological sections with colossal information density. Setting: Double institutional study. We retrospectively reviewed 225 230 pathological patches (small section cut from pathologist-labelled area from an H&E image), cut from 155 H&E-stained whole-slide images (WSI). Labelled gigapixel pathological WSIs were used to train and test a model designed to assign patch-level classification. Using malignant probability from a convolutional neural network, the patches were embedded back into each WSI to generate a visualisation heatmap and leveraged a random forest model to establish a WSI-level diagnosis. For classification, the area under the receiver operating characteristic curve (AUC), accuracy, sensitivity and specificity were used to evaluate the efficacy of the DLS in detecting MM. For patch diagnosis, the model achieved an AUC of 0.989 (95% CI 0.989 to 0.991), with an accuracy, sensitivity and specificity of 94.9%, 94.7% and 95.3%, respectively. We displayed the lesion area on the WSIs as graded by malignant potential. For WSI, the obtained sensitivity, specificity and accuracy were 100%, 96.5% and 98.2%, respectively, with an AUC of 0.998 (95% CI 0.994 to 1.000). Our DLS, which uses artificial intelligence, can automatically detect MM in histopathological slides and highlight the lesion area on WSIs using a probabilistic heatmap. In addition, our approach has the potential to be applied to the histopathological sections of other tumour types."
41395634,Development and Validation of an Automated Pipeline for the Detection of Monteggia Fracture Dislocations in Pediatric Radiographs,"Chakladar S, Pereira DE, Tang N, Siddabattula R, Hosseinzadeh P.",J Pediatr Orthop,2026,10.1097/bpo.0000000000003196,0,"Monteggia fractures are a complex elbow injury that can be missed in up to 50% of pediatric elbow injuries during initial radiographic assessment due to their subtlety. The development of more advanced diagnostic tools is crucial to ensure appropriate treatment for patients. This study investigates whether an automated deep learning pipeline can accurately identify these injuries by quantifying radiocapitellar misalignment and detecting associated ulnar fractures. The automated pipeline utilizes a 2-step, deep learning approach to detect both characteristics of a Monteggia fracture. To identify radial head dislocation, 320 pediatric anteroposterior (AP) and lateral elbow radiographs were used to train a U-Net++ neural network to segment the capitellum and radial neck. Segmentation accuracy was evaluated using the Dice score and intersection over union (IoU). The output segmentations were used to algorithmically construct the radiocapitellar line and measure its displacement from the capitellum. A binary classifier was then trained on 157 paired AP and lateral radiographs to detect the presence of ulnar fractures. The pipeline displayed high accuracy for the segmentation of both the capitellum (Dice: 0.878 ± 0.098; IoU: 0.794 ± 0.130) and radial neck (Dice: 0.912 ± 0.105; IoU: 0.852 ± 0.142). For the detection of radial head displacement, the model achieved a sensitivity of 92.3%, specificity of 96.3%, and accuracy of 95.0% on lateral elbow radiographs, and a sensitivity of 100.0%, specificity of 96.9%, and accuracy of 97.5% on AP radiographs. The ulnar fracture detection model achieved an accuracy of 87.5% and an area under the curve of 0.923. This study introduces an automated pipeline for the detection of Monteggia fractures in pediatric radiographs. By combining segmentation-based measurement of radial head displacement with binary detection of ulnar fractures, the pipeline demonstrates high diagnostic performance. The model's ability to detect subtle radiographic findings with performance metrics exceeding those of expert interpretation highlights its potential as a clinical decision support tool. Level III."
40180632,Advancing Visual Perception Through VCANet-Crossover Osprey Algorithm: Integrating Visual Technologies,"Ning Y, Li J, Sun S.",J Imaging Inform Med,2026,10.1007/s10278-025-01467-w,0,"Diabetic retinopathy (DR) is a significant vision-threatening condition, necessitating accurate and efficient automated screening methods. Traditional deep learning (DL) models struggle to detect subtle lesions and also suffer from high computational complexity. Existing models primarily mimic the primary visual cortex (V1) of the human visual system, neglecting other higher-order processing regions. To overcome these limitations, this research introduces the vision core-adapted network-based crossover osprey algorithm (VCANet-COP) for subtle lesion recognition with better computational efficiency. The model integrates sparse autoencoders (SAEs) to extract vascular structures and lesion-specific features at a pixel level for improved abnormality detection. The front-end network in the VCANet emulates the V1, V2, V4, and inferotemporal (IT) regions to derive subtle lesions effectively and improve lesion detection accuracy. Additionally, the COP algorithm leveraging the osprey optimization algorithm (OOA) with a crossover strategy optimizes hyperparameters and network configurations to ensure better computational efficiency, faster convergence, and enhanced performance in lesion recognition. The experimental assessment of the VCANet-COP model on multiple DR datasets namely Diabetic_Retinopathy_Data (DR-Data), Structured Analysis of the Retina (STARE) dataset, Indian Diabetic Retinopathy Image Dataset (IDRiD), Digital Retinal Images for Vessel Extraction (DRIVE) dataset, and Retinal fundus multi-disease image dataset (RFMID) demonstrates superior performance over baseline works, namely EDLDR, FFU_Net, LSTM_MFORG, fundus-DeepNet, and CNN_SVD by achieving average outcomes of 98.14% accuracy, 97.9% sensitivity, 98.08% specificity, 98.4% precision, 98.1% F1-score, 96.2% kappa coefficient, 2.0% false positive rate (FPR), 2.1% false negative rate (FNR), and 1.5-s execution time. By addressing critical limitations, VCANet-COP provides a scalable and robust solution for real-world DR screening and clinical decision support."
34198041,A column-based deep learning method for the detection and quantification of atrophy associated with AMD in OCT scans,"Szeskin A, Yehuda R, Shmueli O, Levy J, Joskowicz L.",Med Image Anal,2021,10.1016/j.media.2021.102130,0,"The objective quantification of retinal atrophy associated with age-related macular degeneration (AMD) is required for clinical diagnosis, follow-up, treatment efficacy evaluation, and clinical research. Spectral Domain Optical Coherence Tomography (OCT) has become an essential imaging technology to evaluate the macula. This paper describes a novel automatic method for the identification and quantification of atrophy associated with AMD in OCT scans and its visualization in the corresponding infrared imaging (IR) image. The method is based on the classification of light scattering patterns in vertical pixel-wide columns (A-scans) in OCT slices (B-scans) in which atrophy appears with a custom column-based convolutional neural network (CNN). The network classifies individual columns with 3D column patches formed by adjacent neighboring columns from the volumetric OCT scan. Subsequent atrophy columns form atrophy segments which are then projected onto the IR image and are used to identify and segment atrophy lesions in the IR image and to measure their areas and distances from the fovea. Experimental results on 106 clinical OCT scans (5,207 slices) in which cRORA atrophy (the end point of advanced dry AMD) was identified in 2,952 atrophy segments and 1,046 atrophy lesions yield a mean F1 score of 0.78 (std 0.06) and an AUC of 0.937, both close to the observer variability. Automated computer-based detection and quantification of atrophy associated with AMD using a column-based CNN classification in OCT scans can be performed at expert level and may be a useful clinical decision support and research tool for the diagnosis, follow-up and treatment of retinal degenerations and dystrophies."
32520585,Survival prediction for oral tongue cancer patients via probabilistic genetic algorithm optimized neural network models,"Pan X, Zhang T, Yang Q, Yang D, Rwigema JC, Qi XS.",Br J Radiol,2020,10.1259/bjr.20190825,0,"High throughput pre-treatment imaging features may predict radiation treatment outcome and guide individualized treatment in radiotherapy (RT). Given relatively small patient sample (as compared with high dimensional imaging features), identifying potential prognostic imaging biomarkers is typically challenging. We aimed to develop robust machine learning methods for patient survival prediction using pre-treatment quantitative CT image features for a subgroup of head-and-neck cancer patients. Three neural network models, including back propagation (BP), Genetic Algorithm-Back Propagation (GA-BP), and Probabilistic Genetic Algorithm-Back Propagation (PGA-BP) neural networks were trained to simulate association between patient survival and radiomics data in radiotherapy. To evaluate the models, a subgroup of 59 head-and-neck patients with primary cancers in oral tongue area were utilized. Quantitative image features were extracted from planning CT images, a novel t-Distributed Stochastic Neighbor Embedding (t-SNE) method was used to remove irrelevant and redundant image features before fed into the network models. 80% patients were used to train the models, and remaining 20% were used for evaluation. Of the three supervised machine-learning methods studied, PGA-BP yielded the best predictive performance. The reported actual patient survival interval of 30.5 ± 21.3 months, the predicted survival times were 47.3 ± 38.8, 38.5 ± 13.5 and 29.9 ± 15.3 months using the traditional PCA. Combining with the novel t-SNE dimensionality reduction algorithm, the predicted survival intervals are 35.8 ± 15.2, 32.3 ± 13.1 and 31.6 ± 15.8 months for the BP, GA-BP and PGA-BP neural network models, respectively. The work demonstrated that the proposed probabilistic genetic algorithm optimized neural network models, integrating with the t-SNE dimensionality reduction algorithm, achieved accurate prediction of patient survival. The proposed PGA-BP neural network, integrating with an advanced dimensionality reduction algorithm (t-SNE), improved patient survival prediction accuracy using pre-treatment quantitative CT image features of head-and-neck cancer patients."
