pmid,title,authors,journal,year,doi,cited_by_count,abstract
19582980,A clinical decision support system using multilayer perceptron neural network to assess well being in diabetes,"Narasingarao MR, Manda R, Sridhar GR, Madhu K, Rao AA.",J Assoc Physicians India,2009,,0,
20871942,Classification of postural profiles among mouth-breathing children by learning vector quantization,"Mancini F, Sousa FS, Hummel AD, Falcão AE, Yi LC, Ortolani CF, Sigulem D, Pisa IT.",Methods Inf Med,2011,10.3414/me09-01-0039,0,
16849914,Expert clinical rules automate steps in delivering evidence-based care in the electronic health record,"Brokel JM, Shaw MG, Nicholson C.",Comput Inform Nurs,2006,10.1097/00024665-200607000-00005,0,
21709161,Using machine learning for concept extraction on clinical documents from multiple data sources,"Torii M, Wagholikar K, Liu H.",J Am Med Inform Assoc,2011,10.1136/amiajnl-2011-000155,0,
40332936,Real-Time AI-Assisted Insulin Titration System for Glucose Control in Patients With Type 2 Diabetes: A Randomized Clinical Trial,"Ying Z, Fan Y, Chen C, Liu Y, Tang Q, Chen Z, Yang Q, Yan H, Wu L, Lu J, Liu Z, Liu J, Li X, Chen Y.",JAMA Netw Open,2025,10.1001/jamanetworkopen.2025.8910,0,
41319399,MedSumGraph: enhancing GraphRAG for medical QA with summarization and optimized prompts,"Kim D, Yoo S, Jeong O.",Artif Intell Med,2026,10.1016/j.artmed.2025.103311,0,
31677530,"The ethical, legal and social implications of using artificial intelligence systems in breast cancer care","Carter SM, Rogers W, Win KT, Frazer H, Richards B, Houssami N.",Breast,2020,10.1016/j.breast.2019.10.001,0,
41605499,"Implementing an Artificial Intelligence Decision Support System in Radiology: Prospective Qualitative Evaluation Study Using the Nonadoption Abandonment Scale-Up, Spread, and Sustainability (NASSS) Framework","Naicker S, Schmidt P, Shar B, Tariq A, Earnshaw A, McPhail S.",J Med Internet Res,2026,10.2196/80342,0,
41380085,An Intelligent Trial Eligibility Screening Tool Using Natural Language Processing With a Block-Based Visual Programming Interface: Development and Usability Study,"Hu YH, Cheng YY, Lan CC, Su YH, Sung SF.",JMIR Med Inform,2025,10.2196/80072,0,
23920603,Hidden Markov model for analyzing time-series health checkup data,"Kawamoto R, Nazir A, Kameyama A, Ichinomiya T, Yamamoto K, Tamura S, Yamamoto M, Hayamizu S, Kinosada Y.",Stud Health Technol Inform,2013,,0,
12957784,Integrating model-based decision support in a multi-modal reasoning system for managing type 1 diabetic patients,"Montani S, Magni P, Bellazzi R, Larizza C, Roudsari AV, Carson ER.",Artif Intell Med,2003,10.1016/s0933-3657(03)00045-9,0,
41319469,Hierarchical RAG enhances a pharmacogenomic AI assistant in guideline related queries,"Jeon Y, Youn MS, Kang S, Park J, Kim ES, Kim J, Kim JH.",Comput Biol Med,2026,10.1016/j.compbiomed.2025.111323,0,
39828833,Advancements of AI in healthcare: a comprehensive review of ChatGPT's applications and challenges,"Ali S, Aslam A, Tahir Z, Ashraf B, Tanweer A.",J Pak Med Assoc,2025,10.47391/jpma.11173,0,
39760952,Artificial Intelligence in Physical Therapy: Evaluating ChatGPT's Role in Clinical Decision Support for Musculoskeletal Care,"Hao J, Yao Z, Tang Y, Remis A, Wu K, Yu X.",Ann Biomed Eng,2025,10.1007/s10439-025-03676-4,0,
39676165,"Leveraging artificial intelligence to reduce diagnostic errors in emergency medicine: Challenges, opportunities, and future directions","Taylor RA, Sangal RB, Smith ME, Haimovich AD, Rodman A, Iscoe MS, Pavuluri SK, Rose C, Janke AT, Wright DS, Socrates V, Declan A.",Acad Emerg Med,2025,10.1111/acem.15066,0,
40039730,Continuous Optimization of a Hierarchical Bayesian Network for Friedreich's Ataxia Severity Classification,"Dissanayake S, Krishna R, Pathirana PN, Horne MK, Smulewicz DJ, Corben LA.",Annu Int Conf IEEE Eng Med Biol Soc,2024,10.1109/embc53108.2024.10781628,0,
11604789,Automatic identification of patients eligible for a pneumonia guideline: comparing the diagnostic accuracy of two decision support models,"Lagor C, Aronsky D, Fiszman M, Haug PJ.",Stud Health Technol Inform,2001,,0,
25295291,Performance evaluation of the machine learning algorithms used in inference mechanism of a medical decision support system,"Bal M, Amasyali MF, Sever H, Kose G, Demirhan A.",ScientificWorldJournal,2014,10.1155/2014/137896,0,
16597341,Evaluation of PROforma as a language for implementing medical guidelines in a practical context,"Sutton DR, Taylor P, Earle K.",BMC Med Inform Decis Mak,2006,10.1186/1472-6947-6-20,0,
22592391,Using machine learning classifiers to assist healthcare-related decisions: classification of electronic patient records,"Pollettini JT, Panico SR, Daneluzzi JC, Tinós R, Baranauskas JA, Macedo AA.",J Med Syst,2012,10.1007/s10916-012-9859-6,0,
40857549,Performance of ChatGPT and DeepSeek in the Management of Postprostatectomy Uri-nary Incontinence,"Pinto VBP, Ataídes RJC, do Nascimento LAP, Gaspar CB, Alves PF, Pereira MAS, José de Macedo M Filho, Nahas WC, de Bessa J Junior, Gomes CM.",Int Braz J Urol,2025,10.1590/s1677-5538.ibju.2025.0325,0,
39543155,AI tool for predicting MGMT methylation in glioblastoma for clinical decision support in resource limited settings,"Restini FCF, Torfeh T, Aouadi S, Hammoud R, Al-Hammadi N, Starling MTM, Sousa CFPM, Mancini A, Brito LH, Yoshimoto FH, Lima-Júnior NF, Queiroz MM, Passos UL, Amancio CT, Takahashi JT, De Souza Delgado D, Hanna SA, Marta GN, Neves-Junior WFP.",Sci Rep,2024,10.1038/s41598-024-78189-6,0,
39491050,Creating Perinatal Nursing Care Plans Using ChatGPT: A Pathway to Improve Nursing Care Plans and Reduce Documentation Burden,"Johnson LG, Madandola OO, Dos Santos FC, Priola KJB, Yao Y, Macieira TGR, Keenan GM.",J Perinat Neonatal Nurs,2025,10.1097/jpn.0000000000000831,0,
39318354,Clinician Perspectives on Decision Support and AI-based Decision Support in a Pediatric ED,"Ramgopal S, Macy ML, Hayes A, Florin TA, Carroll MS, Kshetrapal A.",Hosp Pediatr,2024,10.1542/hpeds.2023-007653,0,
37230406,"Towards electronic health record-based medical knowledge graph construction, completion, and applications: A literature study","Murali L, Gopakumar G, Viswanathan DM, Nedungadi P.",J Biomed Inform,2023,10.1016/j.jbi.2023.104403,0,
40478782,"Generative artificial intelligence for general practice; new potential ahead, but are we ready?","Geersing GJ, de Wit NJ, Thompson M.",Eur J Gen Pract,2025,10.1080/13814788.2025.2511645,0,
39504282,Estimation and Conformity Evaluation of Multi-Class Counterfactual Explanations for Chronic Disease Prevention,"Lenatti M, Carlevaro A, Guergachi A, Keshavjee K, Mongelli M, Paglialonga A.",IEEE J Biomed Health Inform,2025,10.1109/jbhi.2024.3492730,0,
32479504,A disease category feature database construction method of brain image based on deep convolutional neural network,"Wan Y, Wang X, Chen Q, Lei X, Wang Y, Chen C, Hu H.",PLoS One,2020,10.1371/journal.pone.0232791,0,
29092054,Characteristics of knowledge content in a curated online evidence library,"Varada S, Lacson R, Raja AS, Ip IK, Schneider L, Osterbur D, Bain P, Vetrano N, Cellini J, Mita C, Coletti M, Whelan J, Khorasani R.",J Am Med Inform Assoc,2018,10.1093/jamia/ocx092,0,
37888887,Coherent Blending of Biophysics-Based Knowledge with Bayesian Neural Networks for Robust Protein Property Prediction,"Nisonoff H, Wang Y, Listgarten J.",ACS Synth Biol,2023,10.1021/acssynbio.3c00217,0,
41758150,Leveraging Generative AI for Interpretable Clinical Decision Making Through Causal Graphs,"Ahsen ME, Kittani R, Gerke T, Krishnan L, Rogan S, Scott ER.",Pac Symp Biocomput,2026,10.1142/9789819824755_0022,0,
40776021,A Computational Framework for Tailored Preventive Care Recommendations Using Electronic Health Records,"Luo X, Zeleke J, Puckett RK, Sears I, Storey S.",Stud Health Technol Inform,2025,10.3233/shti251003,0,
40153611,The Challenges of Using ChatGPT for Clinical Decision Support in Orthopaedic Surgery: A Pilot Study,"McNamara MA, Hill BG, Schilling PL.",J Am Acad Orthop Surg,2025,10.5435/jaaos-d-24-01072,0,
41645653,Digital Biomarkers for Precision Early Detection of Lung Cancer: Integrating AI-Driven Multi-Omics Into Clinical Pathways,"Bu F, Ling ZQ.",Cancer Med,2026,10.1002/cam4.71578,0,
41167474,ChatGPT and claude in hand surgery: an explanatory evaluation of clinical decision support on common surgical cases,"Gorgos P, Heder Ternell K, Hammarstrand C, Wallmon A, Brogren E, Björkman A, Horvath A.",Hand Surg Rehabil,2025,10.1016/j.hansur.2025.102530,0,
41037359,Why tomorrow's public health needs to be digital: artificial intelligence and automation for a sustainable Italian National Health Service,"Baglivo F, Diedenhofen G, De Angelis L, Pivetta A, Causio FA, D'Ambrosio A, Sacchi FA, Di Pumpo M, Belpiede A, Ghisalberti G, Ferro D, Rizzo C.",Recenti Prog Med,2025,10.1701/4573.45775,0,
40682078,Application of ChatGPT-based artificial intelligence in the diagnosis and management of polycystic ovary syndrome,"Zhu Y, Luo D, Shen X, Shi Q, Lv H, Zhang S, Ye F, Kong N.",BMC Med Inform Decis Mak,2025,10.1186/s12911-025-03114-4,0,
27262365,An international observational study suggests that artificial intelligence for clinical decision support optimizes anemia management in hemodialysis patients,"Barbieri C, Molina M, Ponce P, Tothova M, Cattinelli I, Ion Titapiccolo J, Mari F, Amato C, Leipold F, Wehmeyer W, Stuard S, Stopper A, Canaud B.",Kidney Int,2016,10.1016/j.kint.2016.03.036,0,
25123728,"""Big data"" and the electronic health record","Ross MK, Wei W, Ohno-Machado L.",Yearb Med Inform,2014,10.15265/iy-2014-0003,0,
10837909,"Evaluation of DIABNET, a decision support system for therapy planning in gestational diabetes","Hernando ME, Gómez EJ, Corcoy R, del Pozo F.",Comput Methods Programs Biomed,2000,10.1016/s0169-2607(00)00070-5,0,
40850187,AlzFormer: Multi-modal framework for Alzheimer's classification using MRI and graph-embedded demographics guided by adaptive attention gating,"Hussain SS, Degang X, Shah PM, Khan H, Zeb A.",Comput Med Imaging Graph,2025,10.1016/j.compmedimag.2025.102638,0,
41106815,Implementation of a Digital Health Intervention (CHAMP) for Self-Monitoring of Hypertension: Protocol for 3 Interlinked Implementation Studies,"Martinengo L, Ha NHL, Tay E, Tong SC, Sevdalis N.",JMIR Res Protoc,2025,10.2196/72942,0,
33861200,Real-Time Clinical Decision Support Based on Recurrent Neural Networks for In-Hospital Acute Kidney Injury: External Validation and Model Interpretation,"Kim K, Yang H, Yi J, Son HE, Ryu JY, Kim YC, Jeong JC, Chin HJ, Na KY, Chae DW, Han SS, Kim S.",J Med Internet Res,2021,10.2196/24120,0,
23542974,Computational cognitive modeling for the diagnosis of Specific Language Impairment,"Oliva J, Serrano JI, del Castillo MD, Iglesias A.",Stud Health Technol Inform,2013,,0,
40981526,Toward digital twins in the intensive care unit: a medication management case study,"Eslami B, Afshar M, Tootooni S, Miller TA, Churpek MM, Gao Y, Dligach D.",J Am Med Inform Assoc,2025,10.1093/jamia/ocaf127,0,
32626903,Time event ontology (TEO): to support semantic representation and reasoning of complex temporal relations of clinical events,"Li F, Du J, He Y, Song HY, Madkour M, Rao G, Xiang Y, Luo Y, Chen HW, Liu S, Wang L, Liu H, Xu H, Tao C.",J Am Med Inform Assoc,2020,10.1093/jamia/ocaa058,0,
40819142,Semantic web ontology for structured knowledge representation and clinical decision support in eye diseases,"Anjum F, Maqbool F, Razzaq MS, Shehzad HMF, Ali S, Shah D, Tahir M, Ilyas M.",Sci Rep,2025,10.1038/s41598-025-15885-x,0,
37328465,"Out with AI, in with the psychiatrist: a preference for human-derived clinical decision support in depression care","Maslej MM, Kloiber S, Ghassemi M, Yu J, Hill SL.",Transl Psychiatry,2023,10.1038/s41398-023-02509-z,0,
34726798,mHealth apps for gestational diabetes mellitus that provide clinical decision support or artificial intelligence: A scoping review,"Daley BJ, Ni'Man M, Neves MR, Bobby Huda MS, Marsh W, Fenton NE, Hitman GA, McLachlan S.",Diabet Med,2022,10.1111/dme.14735,0,
32629294,CLIN-IK-LINKS: A platform for the design and execution of clinical data transformation and reasoning workflows,"Maldonado JA, Marcos M, Fernández-Breis JT, Giménez-Solano VM, Legaz-García MDC, Martínez-Salvador B.",Comput Methods Programs Biomed,2020,10.1016/j.cmpb.2020.105616,0,
25111037,Combining data and meta-analysis to build Bayesian networks for clinical decision support,"Yet B, Perkins ZB, Rasmussen TE, Tai NR, Marsh DW.",J Biomed Inform,2014,10.1016/j.jbi.2014.07.018,0,
37951984,Development and evaluation of a clinical decision support system for early diagnosis of acute appendicitis,"Shahmoradi L, Safdari R, Mirhosseini MM, Rezayi S, Javaherzadeh M.",Sci Rep,2023,10.1038/s41598-023-46721-9,0,
2655522,Diagnostic reasoning,Kassirer JP.,Ann Intern Med,1989,10.7326/0003-4819-110-11-893,0,
41422048,MOCRA: A multi-algorithm clinical decision support system for the early detection of ovarian cancer,"Safaie A, Ghaffari P, Ghaderzadeh M, Salehnasab C.",J Ovarian Res,2025,10.1186/s13048-025-01929-3,0,
41475820,Digital support for chronic dyspnoea management in primary care: protocol for the BREATHE (Breathlessness Rapid Evaluation and Therapy) cluster randomised controlled trial,"Martin A, Sunjaya AP, Giskes K, McKeough Z, Hespe CM, Arnott C, Billot L, Campain A, Scowcroft CP, Atkins ER, Jan S, Scott HA, Chua AV, Jenkins CR and BREATHE Investigators.",BMJ Open,2025,10.1136/bmjopen-2025-108255,0,
27939413,Comprehensive mitigation framework for concurrent application of multiple clinical practice guidelines,"Wilk S, Michalowski M, Michalowski W, Rosu D, Carrier M, Kezadri-Hamiaz M.",J Biomed Inform,2017,10.1016/j.jbi.2016.12.002,0,
29036406,Effects of computerized decision support system implementations on patient outcomes in inpatient care: a systematic review,"Varghese J, Kleine M, Gessner SI, Sandmann S, Dugas M.",J Am Med Inform Assoc,2018,10.1093/jamia/ocx100,0,
26960216,Privacy-Preserving Patient-Centric Clinical Decision Support System on Naïve Bayesian Classification,"Liu X, Lu R, Ma J, Chen L, Qin B.",IEEE J Biomed Health Inform,2016,10.1109/jbhi.2015.2407157,0,
32143808,An incremental explanation of inference in Bayesian networks for increasing model trustworthiness and supporting clinical decision making,"Kyrimi E, Mossadegh S, Tai N, Marsh W.",Artif Intell Med,2020,10.1016/j.artmed.2020.101812,0,
29251061,Use of Decision Support Software to Titrate Multiple Daily Injections Yielded Sustained A1c Reductions After 1 Year,"Bode B, Clarke JG, Johnson J.",J Diabetes Sci Technol,2018,10.1177/1932296817747886,0,
19112011,A hybrid hierarchical decision support system for cardiac surgical intensive care patients. Part II. Clinical implementation and evaluation,"Ross JJ, Denaï MA, Mahfouf M.",Artif Intell Med,2009,10.1016/j.artmed.2008.11.010,0,
37640492,Digitalizing Clinical Guidelines: Experiences in the Development of Clinical Decision Support Algorithms for Management of Childhood Illness in Resource-Constrained Settings,"Beynon F, Guérin F, Lampariello R, Schmitz T, Tan R, Ratanaprayul N, Tamrat T, Pellé KG, Catho G, Keitel K, Masanja I, Rambaud-Althaus C.",Glob Health Sci Pract,2023,10.9745/ghsp-d-22-00439,0,
30609816,PPSDT: A Novel Privacy-Preserving Single Decision Tree Algorithm for Clinical Decision-Support Systems Using IoT Devices,"Alabdulkarim A, Al-Rodhaan M, Ma T, Tian Y.",Sensors (Basel),2019,10.3390/s19010142,0,
27655861,Predicting inpatient clinical order patterns with probabilistic topic models vs conventional order sets,"Chen JH, Goldstein MK, Asch SM, Mackey L, Altman RB.",J Am Med Inform Assoc,2017,10.1093/jamia/ocw136,0,
36287267,Screening for Medication Errors and Adverse Events Using Outlier Detection Screening Algorithms in an Inpatient Setting,"Naor GM, Tocut M, Moalem M, Engel A, Feinberg I, Stein GY, Zandman-Goddard G.",J Med Syst,2022,10.1007/s10916-022-01864-6,0,
39731446,De-biasing the bias: methods for improving disparity assessments with noisy group measurements,"Wastvedt S, Snoke J, Agniel D, Lai J, Elliott MN, Martino SC.",Biometrics,2024,10.1093/biomtc/ujae155,0,
38637792,Decision discovery using clinical decision support system decision log data for supporting the nurse decision-making process,"Berkhout M, Smit K, Versendaal J.",BMC Med Inform Decis Mak,2024,10.1186/s12911-024-02486-3,0,
29762678,Using statistical anomaly detection models to find clinical decision support malfunctions,"Ray S, McEvoy DS, Aaron S, Hickman TT, Wright A.",J Am Med Inform Assoc,2018,10.1093/jamia/ocy041,0,
38053104,21st century (clinical) decision support in nursing and allied healthcare. Developing a learning health system: a reasoned design of a theoretical framework,"van Velzen M, de Graaf-Waar HI, Ubert T, van der Willigen RF, Muilwijk L, Schmitt MA, Scheper MC, van Meeteren NLU.",BMC Med Inform Decis Mak,2023,10.1186/s12911-023-02372-4,0,
20351951,Hypothesis-driven story building framework: enhancing iterative process support in clinical diagnostic decision support systems,"Zhu S, Reddy M, Yen J.",AMIA Annu Symp Proc,2009,,0,
21034668,"Computerised decision support systems in order communication for diagnostic, screening or monitoring test ordering: systematic reviews of the effects and cost-effectiveness of systems","Main C, Moxham T, Wyatt JC, Kay J, Anderson R, Stein K.",Health Technol Assess,2010,10.3310/hta14480,0,
27619194,Mining balance disorders' data for the development of diagnostic decision support systems,"Exarchos TP, Rigas G, Bibas A, Kikidis D, Nikitas C, Wuyts FL, Ihtijarevic B, Maes L, Cenciarini M, Maurer C, Macdonald N, Bamiou DE, Luxon L, Prasinos M, Spanoudakis G, Koutsouris DD, Fotiadis DI.",Comput Biol Med,2016,10.1016/j.compbiomed.2016.08.016,0,
33249389,A deep community based approach for large scale content based X-ray image retrieval,"Haq NF, Moradi M, Wang ZJ.",Med Image Anal,2021,10.1016/j.media.2020.101847,0,
22244032,Using algorithms and computerized decision support systems to treat major depression,"Shelton RC, Trivedi MH.",J Clin Psychiatry,2011,10.4088/jcp.10027tx4cc,0,
24355978,Decision support from local data: creating adaptive order menus from past clinician behavior,"Klann JG, Szolovits P, Downs SM, Schadow G.",J Biomed Inform,2014,10.1016/j.jbi.2013.12.005,0,
30797905,Variance Reduction in Neurosurgical Practice: The Case for Analytics-Driven Decision Support in the Era of Big Data,"Stopa BM, Yan SC, Dasenbrock HH, Kim DH, Gormley WB.",World Neurosurg,2019,10.1016/j.wneu.2019.01.292,0,
11079958,TraumaSCAN: assessing penetrating trauma with geometric and probabilistic reasoning,"Ogunyemi O, Clarke JR, Webber B, Badler N.",Proc AMIA Symp,2000,,0,
34432903,Neonatal sepsis prediction through clinical decision support algorithms: A systematic review,"Persad E, Jost K, Honoré A, Forsberg D, Coste K, Olsson H, Rautiainen S, Herlenius E.",Acta Paediatr,2021,10.1111/apa.16083,0,
41745693,Integrated Radiology-Biochemistry Diagnostic Flow Framework for Emergency Clinical Decision Support: A Simulation-Based Educational Model,"Tiryaki Baştuğ B, Güney T.",Tomography,2026,10.3390/tomography12020016,0,
24381642,Biomedical signal and image processing for clinical decision support systems,"Najarian K, Ward KR, Shirani S.",Comput Math Methods Med,2013,10.1155/2013/578320,0,
25998518,The perils of meta-regression to identify clinical decision support system success factors,"Fillmore CL, Rommel CA, Welch BM, Zhang M, Kawamoto K.",J Biomed Inform,2015,10.1016/j.jbi.2015.05.007,0,
39819973,In Silico Evaluation of Algorithm-Based Clinical Decision Support Systems: Protocol for a Scoping Review,"Dorosan M, Chen YL, Zhuang Q, Lam SWS.",JMIR Res Protoc,2025,10.2196/63875,0,
16259862,INRstar: computerised decision support software for anticoagulation management in primary care,"Jones RT, Sullivan M, Barrett D.",Inform Prim Care,2005,10.14236/jhi.v13i3.601,0,
32703604,Clinical decision support model for tooth extraction therapy derived from electronic dental records,"Cui Q, Chen Q, Liu P, Liu D, Wen Z.",J Prosthet Dent,2021,10.1016/j.prosdent.2020.04.010,0,
