pmid,title,year,doi,cited_by_count,abstract,cluster,cluster_label,cluster_name,study_design
,From evidence-based medicine to digital twin technology for predicting ventricular tachycardia in ischaemic cardiomyopathy,2022,10.1098/rsif.2022.0317,0,,6,"based, heart, failure, recognition, fusion",,Other
,Predicting Substance Use Treatment Failure with Transfer Learning,2022,10.1080/10826084.2022.2125272,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Detectability of Small Low-Attenuation Lesions With Deep Learning CT Image Reconstruction: A 24-Reader Phantom Study,2023,10.2214/ajr.22.28407,0,,5,"learning, reconstruction, deep, mri, image",Human Factors and Clinical Reasoning,Other
,Technical note: A method to synthesize magnetic resonance images in different patient rotation angles with deep learning for gantry-free radiotherapy,2023,10.1002/mp.15981,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,A Self-Supervised Learning Based Framework for Eyelid Malignant Melanoma Diagnosis in Whole Slide Images,2024,10.1109/tcbb.2022.3207352,0,,16,"based, image, diagnosis, images, learning",,Other
,Improving mortality prediction in Acute Pancreatitis by machine learning and data augmentation,2022,10.1016/j.compbiomed.2022.106077,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Clinical Decision Support for Axillary Lymph Node Staging in Newly Diagnosed Breast Cancer Patients Based on (18)F-FDG PET/MRI and Machine Learning,2023,10.2967/jnumed.122.264138,0,,21,"learning, deep, using, covid, 19",,Other
,Metabolomic profiles predict individual multidisease outcomes,2022,10.1038/s41591-022-01980-3,0,,1,"approach, vitro, fertilization, pharmacology, intelligence",Machine Learning Diagnostic Models,Other
,Predicting the level of anemia among Ethiopian pregnant women using homogeneous ensemble machine learning algorithm,2022,10.1186/s12911-022-01992-6,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Identifying Drug Targets of Oral Squamous Cell Carcinoma through a Systems Biology Method and Genome-Wide Microarray Data for Drug Discovery by Deep Learning and Drug Design Specifications,2022,10.3390/ijms231810409,0,,10,"analysis, covid, 19, genes, based",,Other
,Multi-Omic Admission-Based Prognostic Biomarkers Identified by Machine Learning Algorithms Predict Patient Recovery and 30-Day Survival in Trauma Patients,2022,10.3390/metabo12090774,0,,18,"learning, machine, prediction, patients, mortality",,Other
,"Translational Proteomic Approach for Cholangiocarcinoma Biomarker Discovery, Validation, and Multiplex Assay Development: A Pilot Study",2022,10.3390/molecules27185904,0,,10,"analysis, covid, 19, genes, based",,Implementation Study
,"Deep Learning for Diabetic Retinopathy Analysis: A Review, Research Challenges, and Future Directions",2022,10.3390/s22186780,0,,16,"based, image, diagnosis, images, learning",,Other
,"Pragmatic AI-augmentation in mental healthcare: Key technologies, potential benefits, and real-world challenges and solutions for frontline clinicians",2022,10.3389/fpsyt.2022.990370,0,,13,"artificial, ai, intelligence, based, clinical",,Other
,Clinical evaluation of deep learning and atlas-based auto-segmentation for critical organs at risk in radiation therapy,2023,10.1002/jmrs.618,0,,20,"deep, learning, segmentation, risk, based",,Other
,Multimodal attention-based deep learning for Alzheimer's disease diagnosis,2022,10.1093/jamia/ocac168,0,,11,"disease, using, alzheimer, network, deep",,Other
,DGHNE: network enhancement-based method in identifying disease-causing genes through a heterogeneous biomedical network,2022,10.1093/bib/bbac405,0,,10,"analysis, covid, 19, genes, based",,Other
,Clinlabomics: leveraging clinical laboratory data by data mining strategies,2022,10.1186/s12859-022-04926-1,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Serum proteomic networks associate with pre-clinical rheumatoid arthritis autoantibodies and longitudinal outcomes,2022,10.3389/fimmu.2022.958145,0,,10,"analysis, covid, 19, genes, based",,Other
