cluster,label
0,Clinical Natural Language Processing
1,AI in Reproductive Medicine
2,Radiomics in Lung Cancer
3,Healthcare Data Mining
4,Radiotherapy Planning with AI
5,MRI Reconstruction with Deep Learning
6,Heart Failure Detection
7,Cardiac Imaging with Deep Learning
8,Brain Image Segmentation
9,Digital Health Systems and Analytics
10,COVID-19 Genomic Analysis
11,Alzheimer’s Disease Modeling
12,Clinical Decision Support Systems
13,General Clinical AI Applications
14,RNA and Cellular Network Modeling
15,Cancer Genomics with Machine Learning
16,Image-Based Diagnostic Systems
17,Convolutional Neural Networks in Imaging
18,Mortality Prediction Models
19,Clinical Risk Prediction Models
20,Deep Learning for Risk Stratification
21,Deep Learning in COVID-19
