pmid,title,year,doi,cited_by_count,cluster,cluster_label,cluster_name,study_design,abstract
,from evidence-based medicine to digital twin technology for predicting ventricular tachycardia in ischaemic cardiomyopathy,2022,10.1098/rsif.2022.0317,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,predicting substance use treatment failure with transfer learning,2022,10.1080/10826084.2022.2125272,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,detectability of small low-attenuation lesions with deep learning ct image reconstruction: a 24-reader phantom study,2023,10.2214/ajr.22.28407,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,technical note: a method to synthesize magnetic resonance images in different patient rotation angles with deep learning for gantry-free radiotherapy,2023,10.1002/mp.15981,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,a self-supervised learning based framework for eyelid malignant melanoma diagnosis in whole slide images,2024,10.1109/tcbb.2022.3207352,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,improving mortality prediction in acute pancreatitis by machine learning and data augmentation,2022,10.1016/j.compbiomed.2022.106077,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,clinical decision support for axillary lymph node staging in newly diagnosed breast cancer patients based on (18)f-fdg pet/mri and machine learning,2023,10.2967/jnumed.122.264138,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,metabolomic profiles predict individual multidisease outcomes,2022,10.1038/s41591-022-01980-3,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,predicting the level of anemia among ethiopian pregnant women using homogeneous ensemble machine learning algorithm,2022,10.1186/s12911-022-01992-6,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,identifying drug targets of oral squamous cell carcinoma through a systems biology method and genome-wide microarray data for drug discovery by deep learning and drug design specifications,2022,10.3390/ijms231810409,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,multi-omic admission-based prognostic biomarkers identified by machine learning algorithms predict patient recovery and 30-day survival in trauma patients,2022,10.3390/metabo12090774,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,"translational proteomic approach for cholangiocarcinoma biomarker discovery, validation, and multiplex assay development: a pilot study",2022,10.3390/molecules27185904,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Implementation Study,
,"deep learning for diabetic retinopathy analysis: a review, research challenges, and future directions",2022,10.3390/s22186780,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,"pragmatic ai-augmentation in mental healthcare: key technologies, potential benefits, and real-world challenges and solutions for frontline clinicians",2022,10.3389/fpsyt.2022.990370,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,clinical evaluation of deep learning and atlas-based auto-segmentation for critical organs at risk in radiation therapy,2023,10.1002/jmrs.618,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,multimodal attention-based deep learning for alzheimer's disease diagnosis,2022,10.1093/jamia/ocac168,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,dghne: network enhancement-based method in identifying disease-causing genes through a heterogeneous biomedical network,2022,10.1093/bib/bbac405,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,clinlabomics: leveraging clinical laboratory data by data mining strategies,2022,10.1186/s12859-022-04926-1,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,serum proteomic networks associate with pre-clinical rheumatoid arthritis autoantibodies and longitudinal outcomes,2022,10.3389/fimmu.2022.958145,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,mcluster-vaes: an end-to-end variational deep learning-based clustering method for subtype discovery using multi-omics data,2022,10.1016/j.compbiomed.2022.106085,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,leveraging law and ethics to promote safe and reliable ai/ml in healthcare,2022,10.3389/fnume.2022.983340,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,an artificial intelligence-driven digital health solution to support clinical management of patients with long covid-19: protocol for a prospective multicenter observational study,2022,10.2196/37704,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Observational Study,
,automated clinical decision support system with deep learning dose prediction and ntcp models to evaluate treatment complications in patients with esophageal cancer,2022,10.1016/j.radonc.2022.08.031,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,"high quality, safe healthcare = technology + people + systems thinking",2022,10.1136/bmjhci-2022-100673,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,identify diabetic retinopathy-related clinical concepts and their attributes using transformer-based natural language processing methods,2022,10.1186/s12911-022-01996-2,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,"databases, big data and artificial intelligence: what healthcare professionals need to know about them",2022,10.1590/1516-3180.2022.140611082022,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,"drug-food interactions in the era of molecular big data, machine intelligence, and personalized health",2022,10.2174/2212798412666220620104809,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,a novel multimodal fusion framework for early diagnosis and accurate classification of covid-19 patients using x-ray images and speech signal processing techniques,2022,10.1016/j.cmpb.2022.107109,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,"online adaptive radiotherapy of anal cancer: normal tissue sparing, target propagation methods, and first clinical experience",2022,10.1016/j.radonc.2022.09.015,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,artificial intelligence empowered digital health technologies in cancer survivorship care: a scoping review,2022,10.1016/j.apjon.2022.100127,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Review Paper,
,the pyroptosis-related gene signature predicts prognosis and indicates the immune microenvironment status of chronic lymphocytic leukemia,2022,10.3389/fimmu.2022.939978,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,stackpr is a new computational approach for large-scale identification of progesterone receptor antagonists using the stacking strategy,2022,10.1038/s41598-022-20143-5,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,pico entity extraction for preclinical animal literature,2022,10.1186/s13643-022-02074-4,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,plasma metabolomics reveals systemic metabolic alterations of subclinical and clinical hypothyroidism,2022,10.1210/clinem/dgac555,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,an introduction to machine learning for classification and prediction,2023,10.1093/fampra/cmac104,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,inductive database to support iterative data mining: application to biomarker analysis on patient data in the fight-hf project,2022,10.1016/j.jbi.2022.104212,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,niche deconvolution of the glioblastoma proteome reveals a distinct infiltrative phenotype within the proneural transcriptomic subgroup,2022,10.1038/s41597-022-01716-5,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,streaking artifact reduction for cbct-based synthetic ct generation in adaptive radiotherapy,2023,10.1002/mp.16017,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,a model of normality inspired deep learning framework for depression relapse prediction using audiovisual data,2022,10.1016/j.cmpb.2022.107132,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,high-dimensional analysis of finger motion and screening of cervical myelopathy with a noncontact sensor: diagnostic case-control study,2022,10.2196/41327,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Observational Study,
,current status and trends in researches based on public intensive care databases: a scientometric investigation,2022,10.3389/fpubh.2022.912151,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,efficient dose-volume histogram-based pretreatment patient-specific quality assurance methodology with combined deep learning and machine learning models for volumetric modulated arc radiotherapy,2022,10.1002/mp.16010,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,predicting asthma attacks using connected mobile devices and machine learning: the aamos-00 observational study protocol,2022,10.1136/bmjopen-2022-064166,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Observational Study,
,a novel tropical geometry-based interpretable machine learning method: pilot application to delivery of advanced heart failure therapies,2023,10.1109/jbhi.2022.3211765,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,machine learning-based exploratory clinical decision support for newly diagnosed patients with acute myeloid leukemia treated with 7 + 3 type chemotherapy or venetoclax/azacitidine,2022,10.1200/cci.22.00030,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Other,
,decision support system and outcome prediction in a cohort of patients with necrotizing soft-tissue infections,2022,10.1016/j.ijmedinf.2022.104878,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,deep learning image reconstruction algorithm reduces image noise while alters radiomics features in dual-energy ct in comparison with conventional iterative reconstruction algorithms: a phantom study,2023,10.1007/s00330-022-09119-1,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,a novel deep learning approach for sickle cell anemia detection in human rbcs using an improved wrapper-based feature selection technique in microscopic blood smear images,2022,10.1515/bmt-2021-0127,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,robust deep learning-based forward dose calculations for vmat on the 1.5t mr-linac,2022,10.1088/1361-6560/ac97d8,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,explainability in medicine in an era of ai-based clinical decision support systems,2022,10.3389/fgene.2022.903600,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,automatic classification of medical image modality and anatomical location using convolutional neural network,2021,10.1371/journal.pone.0253205,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
